eval,J,J_nonqs,J_res,J_iota,J_mr,J_beta,J_surface_reg,weighted_residual_norm,iota,major_radius,target_plasma_beta,achieved_plasma_beta,reference_magnetic_pressure,pressure_jump,boozer_norm,normal_norm,pressure_norm,jump_norm,sheet_current_norm
1.000000000000000000e+00,1.087329160785947824e-02,1.189564666256790458e-04,1.075112019147193149e-02,5.173838326093363070e-08,0.000000000000000000e+00,3.163211378606044486e-06,0.000000000000000000e+00,1.466364224295719221e-01,-3.415824238254256406e-01,1.461433254730567954e+00,2.999999999999999889e-02,3.079538812897930980e-02,8.761316512332909042e+05,2.628394953699872713e+04,2.417618979224058954e-14,1.021610205394982498e-02,4.789356463816896864e-02,1.382175029003804290e-01,2.192111120020689559e+05
2.000000000000000000e+00,1.087329136323465784e-02,1.189564653348727167e-04,1.075111994933221175e-02,5.173748445593358001e-08,5.042062678496666335e-17,3.163211083065784097e-06,4.999999939225290514e-19,1.466364207782787643e-01,-3.415824210312999321e-01,1.461433264772542540e+00,2.999999999999999889e-02,3.079538809182257378e-02,8.761316385705909925e+05,2.628394915711772774e+04,2.205061264962347028e-14,1.021611123188572931e-02,4.789355832386474332e-02,1.382175026580958754e-01,2.192111214141458913e+05
3.000000000000000000e+00,1.087329147434786154e-02,1.189564067261299256e-04,1.075112013572192271e-02,5.171980454063522256e-08,1.040257795647777539e-19,3.163212095269392042e-06,4.999999994736441523e-19,1.466364220493798221e-01,-3.415823660646036819e-01,1.461433254274441262e+00,2.999999999999999889e-02,3.079538821908164858e-02,8.761316460021717940e+05,2.628394938006515440e+04,2.329590790111267323e-14,1.021602267792870791e-02,4.789354526543582874e-02,1.382175150767642191e-01,2.192108883484809485e+05
4.000000000000000000e+00,1.087329161069933506e-02,1.189564488236645310e-04,1.075112023076492222e-02,5.171889852405405867e-08,7.286923040023832210e-20,3.163212212225278885e-06,4.999999999940612382e-19,1.466364226975339358e-01,-3.415823632475533111e-01,1.461433255112325025e+00,2.999999999999999889e-02,3.079538823378590029e-02,8.761316506404756801e+05,2.628394951921426764e+04,2.293420220517766706e-14,1.021603588452057836e-02,4.789354924661169688e-02,1.382175134087515467e-01,2.192108882759527187e+05
5.000000000000000000e+00,1.087329159287809578e-02,1.189565016889658738e-04,1.075112014413976552e-02,5.173601148183827974e-08,1.211029091808584759e-21,3.163211037881491270e-06,4.999999999994821532e-19,1.466364221067860407e-01,-3.415824164521955031e-01,1.461433254779782365e+00,2.999999999999999889e-02,3.079538808614178808e-02,8.761316517496419838e+05,2.628394955248925908e+04,1.987465895601733355e-14,1.021594609650618504e-02,4.789356557044333051e-02,1.382175137621222683e-01,2.192107552569363615e+05
6.000000000000000000e+00,1.087329188028583228e-02,1.189564659222965573e-04,1.075112044944069936e-02,5.175562600033226547e-08,1.184880281196749804e-17,3.163209296824021922e-06,4.999999994736441523e-19,1.466364241888126474e-01,-3.415824774234350047e-01,1.461433259598586609e+00,2.999999999999999889e-02,3.079538786724767344e-02,8.761316519281474175e+05,2.628394955784442209e+04,2.308151064857414231e-14,1.021600612746770449e-02,4.789357602134525910e-02,1.382175079126105599e-01,2.192108303634824697e+05
7.000000000000000000e+00,1.087329192551729322e-02,1.189564991778995135e-04,1.075112041878563060e-02,5.180129109675462660e-08,6.527848265530388438e-17,3.163206262599393237e-06,5.000000001675335038e-19,1.466364239797577074e-01,-3.415826193274988931e-01,1.461433266156720645e+00,2.999999999999999889e-02,3.079538748577022311e-02,8.761316518398148473e+05,2.628394955519444557e+04,1.912165787639546376e-14,1.021592542952232466e-02,4.789356958231604650e-02,1.382175158865675546e-01,2.192107586455183045e+05
8.000000000000000000e+00,1.087329189136725625e-02,1.189565018356700151e-04,1.075112037187136819e-02,5.181138224643662846e-08,2.438376794990884691e-18,3.163206277969919489e-06,4.999999999994821532e-19,1.466364236598217685e-01,-3.415826506772580706e-01,1.461433256938905245e+00,2.999999999999999889e-02,3.079538748770268078e-02,8.761316510721993400e+05,2.628394953216597787e+04,1.980659345935063576e-14,1.021593582585198466e-02,4.789356556038642382e-02,1.382175161723642742e-01,2.192107760946777125e+05
9.000000000000000000e+00,1.087329185233579763e-02,1.189564721594497124e-04,1.075112036206355565e-02,5.181181505938216948e-08,2.819854185663562473e-20,3.163206297732305221e-06,4.999999999994821532e-19,1.466364235929365212e-01,-3.415826520217919438e-01,1.461433254968048656e+00,2.999999999999999889e-02,3.079538749018730440e-02,8.761316510897558182e+05,2.628394953269267353e+04,2.155715003819166934e-14,1.021593812567077840e-02,4.789356302211347088e-02,1.382175168109542607e-01,2.192107834956290317e+05
1.000000000000000000e+01,1.152555313214696611e+02,3.274254164434849401e-01,9.645104081109181493e+01,1.819499414960327499e+01,2.581295164188324165e-01,1.894142791224863454e-02,4.999999999999999237e-03,1.388891938280957916e+01,-6.373672228692642605e+00,2.179944933715443511e+00,2.999999999999999889e-02,9.154905021565910850e-02,5.107476128705802257e+05,1.532242838611740626e+04,1.670701939932157249e-14,4.936289542371634198e+00,1.214259380645077968e+01,4.592661845553106303e+00,6.406435915475409711e+05
1.100000000000000000e+01,2.902399911605092697e+01,1.865394427095206087e-01,2.856372704053590539e+01,1.058273662233037704e-02,2.581295236141359362e-01,2.037253002064498534e-05,5.000000039013231985e-03,7.558270574746038584e+00,-4.867443298846378941e-01,2.179944943729620999e+00,2.999999999999999889e-02,2.798145943708604116e-02,5.107475977425367455e+05,1.532242793227610127e+04,2.579877790723810832e-14,4.386790517036809334e+00,3.762592418271485162e+00,4.870977451669601166e+00,1.191213768476870656e+07
1.200000000000000000e+01,2.899318021312516791e+01,1.894203900011653674e-01,2.853368478593114332e+01,6.922141899803847462e-03,2.581295222497207997e-01,2.337302204322163983e-05,5.000000021292686468e-03,7.554294776606369943e+00,-4.589224804222263865e-01,2.179944941830674665e+00,2.999999999999999889e-02,2.783791665085632444e-02,5.107476001432480989e+05,1.532242800429744238e+04,2.576605567903094475e-14,4.385925104643592753e+00,3.751288751693978352e+00,4.874306437815908666e+00,1.194354178940490261e+07
1.300000000000000000e+01,2.899317984411104732e+01,1.894199391922877229e-01,2.853368435310308726e+01,6.922657174221994933e-03,2.581295211368374587e-01,2.337350506673339869e-05,4.999999999547093295e-03,7.554294719310743034e+00,-4.589268596269949207e-01,2.179944940281801635e+00,2.999999999999999889e-02,2.783789431031998690e-02,5.107476018481064821e+05,1.532242805544319344e+04,2.138582862864715650e-14,4.385925172990242871e+00,3.751289484914752670e+00,4.874305723229176657e+00,1.194354488631444052e+07
1.400000000000000000e+01,2.899318040305947619e+01,1.894201282796934005e-01,2.853368494130019428e+01,6.922438546716824098e-03,2.581295214094063706e-01,2.337352107818754446e-05,5.000000002389259034e-03,7.554294797173352727e+00,-4.589250015794722470e-01,2.179944940661153741e+00,2.999999999999999889e-02,2.783789356977101753e-02,5.107476027549510472e+05,1.532242808264853011e+04,3.968249504567350018e-14,4.385925645014232543e+00,3.751288800495084619e+00,4.874305945905224924e+00,1.194354579276279733e+07
