metric,value
pressure_jump,2.6276819174423799e+04
lambda_current,1.3703902953009164e+01
direct_boozer_norm,2.3253425125564341e-14
direct_jump_norm,1.3818347623668567e-01
direct_coil_match_norm,1.9193988482938307e-01
vc_coil_match_norm,1.8186584527443314e-01
direct_normal_norm,1.0298198808558087e-02
vc_normal_norm,6.6079272366268371e-02
direct_pressure_norm,4.7841549003221268e-02
vc_pressure_norm,4.7898522375215630e-01
direct_sheet_current_norm,2.4292262572660015e+05
vc_sheet_current_norm,7.3743496751056664e+04
B_external_rel_norm,2.7448620741073550e-02
coil_match_rel_norm,1.5466326989320023e+00
normal_rel_norm,1.0063312044886383e+00
pressure_rel_norm,9.0429185184673155e-01
sheet_current_rel_norm,2.9492799167207338e+00
