eval,J,J_nonqs,J_iota,J_mr,residual_norm,major_radius,iota,lsq_nfev,best_J,boozer_norm,normal_norm,pressure_norm,jump_norm,sheet_current_norm
1.000000000000000000e+00,3.638518435890079547e-03,3.638518435890079547e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.991705400329535417e-15,1.471417940459596840e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.991400508718571075e-15,3.484846503993438930e-17,0.000000000000000000e+00,7.849317303981216749e-21,6.246288244126799114e-15
2.000000000000000000e+00,3.638518385060314237e-03,3.638518385060264364e-03,0.000000000000000000e+00,4.999997718779501239e-17,1.941292283020940095e-15,1.471417950459594559e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.940732993461181788e-15,4.659588121543751136e-17,0.000000000000000000e+00,7.849317298420063942e-21,6.246288239701374632e-15
3.000000000000000000e+00,3.638519038151117897e-03,3.638519038151117897e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.981306379715827950e-15,1.471417940459596840e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.980875064381131575e-15,4.133944307893841067e-17,0.000000000000000000e+00,7.849317308637053084e-21,6.246288247831796373e-15
4.000000000000000000e+00,3.638518775860086121e-03,3.638518775860086121e-03,0.000000000000000000e+00,9.860761315262647568e-32,1.994660378313993900e-15,1.471417940459597284e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.993977422125312548e-15,5.219257426690458639e-17,0.000000000000000000e+00,7.849317303348554781e-21,6.246288243623342562e-15
5.000000000000000000e+00,3.638518387111575741e-03,3.638518387111575741e-03,0.000000000000000000e+00,1.577721810442023611e-30,2.028208635058884252e-15,1.471417940459595064e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.027677200867068927e-15,4.642667713393160896e-17,0.000000000000000000e+00,7.849317304505889719e-21,6.246288244544321892e-15
6.000000000000000000e+00,3.638518443261796933e-03,3.638518443261796933e-03,0.000000000000000000e+00,8.874685183736382811e-31,1.982496430343016069e-15,1.471417940459595508e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.982078187253112949e-15,4.072046017180375723e-17,0.000000000000000000e+00,7.849316875460040693e-21,6.246287903120482450e-15
7.000000000000000000e+00,3.638518370354218087e-03,3.638518370354199873e-03,0.000000000000000000e+00,1.816739276278153209e-17,1.974315130974033570e-15,1.471417946487431072e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.973771221336676585e-15,4.634007072207786196e-17,0.000000000000000000e+00,7.849317354415219202e-21,6.246288284260903094e-15
8.000000000000000000e+00,3.638518479289239681e-03,3.638518479289239681e-03,0.000000000000000000e+00,8.026784521260177507e-20,2.001899941537102633e-15,1.471417940860265894e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.001362166470704791e-15,4.639886296375191385e-17,0.000000000000000000e+00,7.849317291392128908e-21,6.246288234108721579e-15
9.000000000000000000e+00,3.638518431489269536e-03,3.638518431489269536e-03,0.000000000000000000e+00,5.565775222273177208e-22,1.970768050266883309e-15,1.471417940426232862e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.970321055508266083e-15,4.197196816821819239e-17,0.000000000000000000e+00,7.849317374866873911e-21,6.246288300535812754e-15
1.000000000000000000e+01,3.638518420832132037e-03,3.638518420832119460e-03,0.000000000000000000e+00,1.249998874583551260e-17,2.038106777845988958e-15,1.471417945459594590e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.037643626068191673e-15,4.344756591363341679e-17,0.000000000000000000e+00,7.849317438731168276e-21,6.246288351357403490e-15
1.100000000000000000e+01,3.638518442826756908e-03,3.638518442826756908e-03,0.000000000000000000e+00,9.860761315262647568e-32,1.996014247015544238e-15,1.471417940459596396e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.995634539056930611e-15,3.893148790440025119e-17,0.000000000000000000e+00,7.849317197640174845e-21,6.246288159503286151e-15
1.200000000000000000e+01,3.638518428564989360e-03,3.638518428564989360e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.010663602047020646e-15,1.471417940459596840e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.010126136091414397e-15,4.648696093841471206e-17,0.000000000000000000e+00,7.849317460864602189e-21,6.246288368970632242e-15
1.300000000000000000e+01,3.638518441032825151e-03,3.638518441032825151e-03,0.000000000000000000e+00,9.860761315262647568e-32,1.976424164816154700e-15,1.471417940459596396e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.975985496554485134e-15,4.163888343781474420e-17,0.000000000000000000e+00,7.849317182850812852e-21,6.246288147734287661e-15
1.400000000000000000e+01,3.638518437844890426e-03,3.638518437844890426e-03,0.000000000000000000e+00,2.465190328815661892e-32,1.980100143030066747e-15,1.471417940459596618e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.979735239095678424e-15,3.801262223073356169e-17,0.000000000000000000e+00,7.849317703185259759e-21,6.246288561803282624e-15
1.500000000000000000e+01,3.638518434648038789e-03,3.638518434648038789e-03,0.000000000000000000e+00,3.944304526105059027e-31,1.936965782825276112e-15,1.471417940459595952e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.936527601718888442e-15,4.119819844621588414e-17,0.000000000000000000e+00,7.849317410819955062e-21,6.246288329146365215e-15
1.600000000000000000e+01,3.638518435682498199e-03,3.638518435682498199e-03,0.000000000000000000e+00,1.577721810442023611e-30,1.988386092675660259e-15,1.471417940459598617e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.987466877060005828e-15,6.045383423502178565e-17,0.000000000000000000e+00,7.849317401462594218e-21,6.246288321700014464e-15
1.700000000000000000e+01,3.638518435424355733e-03,3.638518435424355733e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.958278682047502465e-15,1.471417940459596840e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.957904553943946475e-15,3.827733200796919483e-17,0.000000000000000000e+00,7.849317310306583072e-21,6.246288249160366722e-15
1.800000000000000000e+01,3.638518437300601854e-03,3.638518437300601854e-03,0.000000000000000000e+00,8.874685183736382811e-31,2.022687699414989191e-15,1.471417940459595508e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.021948892936200097e-15,5.466446429961446210e-17,0.000000000000000000e+00,7.849317298261609560e-21,6.246288239575280739e-15
1.900000000000000000e+01,3.638518416097490972e-03,3.638518416097490972e-03,0.000000000000000000e+00,2.465190328815661892e-30,1.999092540618797724e-15,1.471417940459594620e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.998449904022004150e-15,5.068497815478255179e-17,0.000000000000000000e+00,7.849317303525329571e-21,6.246288243764015394e-15
2.000000000000000000e+01,3.638518437209956480e-03,3.638518437209956480e-03,0.000000000000000000e+00,1.577721810442023611e-30,1.978887706813197298e-15,1.471417940459595064e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.978136261680962913e-15,5.452968308772696041e-17,0.000000000000000000e+00,7.849317317465537014e-21,6.246288254857279577e-15
2.100000000000000000e+01,3.638518434585992500e-03,3.638518434585992500e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.046352819347721778e-15,1.471417940459596840e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.045738054618323399e-15,5.015648589361688410e-17,0.000000000000000000e+00,7.849317631355213821e-21,6.246288504642748809e-15
2.200000000000000000e+01,3.638518429152419638e-03,3.638518429152419638e-03,0.000000000000000000e+00,6.310887241768094443e-30,2.017054471788480884e-15,1.471417940459593288e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.016528977800661159e-15,4.603937217769628991e-17,0.000000000000000000e+00,7.849317375491863757e-21,6.246288301033164312e-15
2.300000000000000000e+01,3.638518436243066718e-03,3.638518436243066718e-03,0.000000000000000000e+00,2.218671295934095703e-31,2.022216597581308853e-15,1.471417940459597506e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.021526934891779421e-15,5.280926981847200992e-17,0.000000000000000000e+00,7.849317623531349117e-21,6.246288498416715390e-15
2.400000000000000000e+01,3.638518436055748241e-03,3.638518436055748241e-03,0.000000000000000000e+00,2.465190328815661892e-30,1.967391236883859776e-15,1.471417940459594620e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.966652528596804648e-15,5.390835435800040897e-17,0.000000000000000000e+00,7.849317321859862155e-21,6.246288258354173752e-15
2.500000000000000000e+01,3.638518437119532285e-03,3.638518437119532285e-03,0.000000000000000000e+00,2.465190328815661892e-30,2.017452574849568963e-15,1.471417940459594620e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.017055726492885010e-15,4.001359678664220607e-17,0.000000000000000000e+00,7.849317335654466284e-21,6.246288269331570834e-15
2.600000000000000000e+01,3.638518435544677455e-03,3.638518435544677455e-03,0.000000000000000000e+00,8.874685183736382811e-31,1.957609246687429102e-15,1.471417940459595508e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.956898374711092122e-15,5.275143322789377311e-17,0.000000000000000000e+00,7.849317246801566425e-21,6.246288198624678900e-15
2.700000000000000000e+01,3.638520155639396025e-03,3.638520155639395157e-03,0.000000000000000000e+00,7.598690080461252896e-19,1.988549490557599263e-15,1.471417941692373388e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.988059003905631002e-15,4.416416335703676233e-17,0.000000000000000000e+00,7.849317309978701022e-21,6.246288248899445456e-15
2.800000000000000000e+01,3.638518056663485843e-03,3.638518056663485843e-03,0.000000000000000000e+00,2.092242060670139585e-21,2.012988441506554608e-15,1.471417940524284429e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.012320439864051506e-15,5.185472864385550478e-17,0.000000000000000000e+00,7.849317291086777229e-21,6.246288233865729543e-15
2.900000000000000000e+01,3.638518356656212250e-03,3.638518356656212250e-03,0.000000000000000000e+00,6.046836931195736448e-22,1.983629568155247125e-15,1.471417940424820880e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.983170987386116153e-15,4.265088965237579601e-17,0.000000000000000000e+00,7.849317302851258604e-21,6.246288243227607333e-15
3.000000000000000000e+01,3.638518276913895334e-03,3.638518276913895334e-03,0.000000000000000000e+00,9.791365474112363863e-22,2.034110651149263167e-15,1.471417940415344461e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.033549542612197876e-15,4.777445760016993006e-17,0.000000000000000000e+00,7.849317279018071145e-21,6.246288224261759807e-15
3.100000000000000000e+01,3.638518487733122860e-03,3.638518487733122427e-03,0.000000000000000000e+00,2.635858267593349181e-19,1.981933892456077340e-15,1.471417941185662714e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.981603163649479909e-15,3.620574289886217141e-17,0.000000000000000000e+00,7.849317300991619770e-21,6.246288241747753185e-15
3.200000000000000000e+01,3.638518454267211828e-03,3.638518454267211828e-03,0.000000000000000000e+00,7.369303619309104769e-21,1.968610440625435524e-15,1.471417940580999506e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.968180026773149045e-15,4.116368653444763946e-17,0.000000000000000000e+00,7.849317301367458980e-21,6.246288242046837175e-15
3.300000000000000000e+01,3.638518446465531086e-03,3.638518446465531086e-03,0.000000000000000000e+00,1.904102705087458862e-19,1.967008661895915002e-15,1.471417941076703428e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.966454632954448754e-15,4.668246398735106538e-17,0.000000000000000000e+00,7.849317304679971216e-21,6.246288244682850600e-15
3.400000000000000000e+01,3.638518430047696980e-03,3.638518430047696980e-03,0.000000000000000000e+00,5.223246432510978650e-22,2.021083714891658453e-15,1.471417940491917875e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.020583936264762812e-15,4.494373201517916185e-17,0.000000000000000000e+00,7.849317299415216018e-21,6.246288240493291585e-15
3.500000000000000000e+01,3.638518423753679155e-03,3.638518423753679155e-03,0.000000000000000000e+00,1.515707912459530166e-22,2.022713034396464542e-15,1.471417940442185879e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.022274212089418067e-15,4.213111170933953358e-17,0.000000000000000000e+00,7.849317294638751770e-21,6.246288236692302575e-15
3.600000000000000000e+01,3.638518435345484362e-03,3.638518435345484362e-03,0.000000000000000000e+00,2.219451091101882495e-22,2.018610018603380019e-15,1.471417940438528138e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.018001332050081674e-15,4.956844750869505250e-17,0.000000000000000000e+00,7.849317281087162383e-21,6.246288225908290010e-15
3.700000000000000000e+01,3.638518436397549047e-03,3.638518436397549047e-03,0.000000000000000000e+00,3.351564302683306019e-26,2.008462571431049131e-15,1.471417940459337936e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.008099211718749803e-15,3.820283592021731279e-17,0.000000000000000000e+00,7.849317315320562631e-21,6.246288253150363649e-15
3.800000000000000000e+01,3.638518437013581446e-03,3.638518437013581446e-03,0.000000000000000000e+00,2.189187619601460386e-25,2.043341163191909876e-15,1.471417940460258533e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.042847541173266615e-15,4.491138669863941696e-17,0.000000000000000000e+00,7.849317331000306110e-21,6.246288265627907538e-15
3.900000000000000000e+01,3.638518429859149018e-03,3.638518429859148584e-03,0.000000000000000000e+00,2.932806652835536695e-19,2.069310924573832416e-15,1.471417941225469761e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.068548704050117491e-15,5.616014130659927472e-17,0.000000000000000000e+00,7.849317300886773950e-21,6.246288241664319311e-15
4.000000000000000000e+01,3.638518497705856437e-03,3.638518497705856437e-03,0.000000000000000000e+00,1.392369996063757812e-22,2.064642384188640706e-15,1.471417940476284381e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.064283440272202235e-15,3.849743815509022008e-17,0.000000000000000000e+00,7.849317285813555462e-21,6.246288229669433656e-15
4.100000000000000000e+01,3.638518420838367934e-03,3.638518420838367934e-03,0.000000000000000000e+00,6.827012475338235969e-20,2.041306903129792426e-15,1.471417940829110371e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.040886351184117082e-15,4.143397463571294090e-17,0.000000000000000000e+00,7.849317314620633045e-21,6.246288252593378152e-15
4.200000000000000000e+01,3.638518443971704326e-03,3.638518443971704326e-03,0.000000000000000000e+00,1.778032030055601136e-21,2.035782517633979406e-15,1.471417940519229584e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.035382059041857410e-15,4.037737947244442507e-17,0.000000000000000000e+00,7.849317298150489421e-21,6.246288239486854164e-15
4.300000000000000000e+01,3.638518436785351251e-03,3.638518436785351251e-03,0.000000000000000000e+00,1.357036792095183251e-21,1.969287005452499534e-15,1.471417940407500069e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.968472442249732468e-15,5.663527068740178963e-17,0.000000000000000000e+00,7.849317265618932655e-21,6.246288213599064584e-15
4.400000000000000000e+01,3.638518422736424299e-03,3.638518422736424299e-03,0.000000000000000000e+00,4.993203587754014500e-20,2.014921508581977297e-15,1.471417940775609612e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.014247243133126003e-15,5.212225259196807719e-17,0.000000000000000000e+00,7.849317294566272104e-21,6.246288236634624221e-15
4.500000000000000000e+01,3.638518439086533499e-03,3.638518439086533499e-03,0.000000000000000000e+00,1.251890860907794070e-22,1.983413331187350649e-15,1.471417940475420183e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.982903208795480543e-15,4.498118293996596537e-17,0.000000000000000000e+00,7.849317299481097869e-21,6.246288240545718492e-15
4.600000000000000000e+01,3.638518426314745532e-03,3.638518426314745532e-03,0.000000000000000000e+00,1.903142279655487858e-23,1.996134498135557557e-15,1.471417940453427331e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.995279199845774240e-15,5.842815458399269217e-17,0.000000000000000000e+00,7.849317312619667065e-21,6.246288251001059259e-15
4.700000000000000000e+01,3.638518435704463268e-03,3.638518435704463268e-03,0.000000000000000000e+00,3.532737081056661457e-24,2.018713337484095983e-15,1.471417940462254936e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.018112660103867229e-15,4.924256292130974243e-17,0.000000000000000000e+00,7.849317262067927097e-21,6.246288210773263059e-15
4.800000000000000000e+01,3.638518437521920477e-03,3.638518437521920477e-03,0.000000000000000000e+00,5.849548920392544248e-23,2.019576618409203401e-15,1.471417940448780604e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.018642639411757781e-15,6.141345058107123618e-17,0.000000000000000000e+00,7.849317335035317423e-21,6.246288268838868034e-15
4.900000000000000000e+01,3.638518435444877946e-03,3.638518435444877946e-03,0.000000000000000000e+00,6.386839755798904986e-27,2.019056619557794487e-15,1.471417940459483820e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.018454163006428123e-15,4.931961841454798759e-17,0.000000000000000000e+00,7.849317256493410142e-21,6.246288206337204732e-15
5.000000000000000000e+01,3.638518436856403790e-03,3.638518436856403790e-03,0.000000000000000000e+00,2.955824834008199000e-26,1.948985817403258543e-15,1.471417940459839979e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.948485880890955862e-15,4.414168490251407874e-17,0.000000000000000000e+00,7.849317354064450183e-21,6.246288283981770184e-15
5.100000000000000000e+01,3.638518407186691356e-03,3.638518407186691356e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.946581719037522894e-15,1.471417940459596840e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.946232094336633938e-15,3.689205610298935437e-17,0.000000000000000000e+00,7.849317306206768730e-21,6.246288245897838389e-15
5.200000000000000000e+01,3.638518650670010800e-03,3.638518650670010800e-03,0.000000000000000000e+00,2.465190328815661892e-32,1.974594806603462665e-15,1.471417940459596618e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.974044668276958940e-15,4.660791618454215252e-17,0.000000000000000000e+00,7.849317299331268042e-21,6.246288240426487688e-15
5.300000000000000000e+01,3.638518425212474480e-03,3.638518425212474480e-03,0.000000000000000000e+00,2.218671295934095703e-31,1.945621672671348422e-15,1.471417940459596174e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.945145826754488604e-15,4.302796493491417696e-17,0.000000000000000000e+00,7.849317306566699458e-21,6.246288246184261950e-15
5.400000000000000000e+01,3.638518459246193465e-03,3.638518459246193465e-03,0.000000000000000000e+00,9.860761315262647568e-32,2.034845056578544617e-15,1.471417940459596396e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.034534078357440532e-15,3.557370128015809409e-17,0.000000000000000000e+00,7.849317310668528503e-21,6.246288249448393249e-15
5.500000000000000000e+01,3.638518403961247139e-03,3.638518403961247139e-03,0.000000000000000000e+00,1.577721810442023611e-30,1.932767971025931375e-15,1.471417940459595064e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.932369306499074753e-15,3.925421075971405092e-17,0.000000000000000000e+00,7.849317314967378676e-21,6.246288252869309075e-15
5.600000000000000000e+01,3.638518439271509232e-03,3.638518439271509232e-03,0.000000000000000000e+00,2.465190328815661892e-32,1.992544600981960043e-15,1.471417940459596618e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.992130801897830664e-15,4.060609524015939891e-17,0.000000000000000000e+00,7.849317278918717234e-21,6.246288224182696223e-15
5.700000000000000000e+01,3.638518430712202757e-03,3.638518430712202757e-03,0.000000000000000000e+00,2.218671295934095703e-31,2.001593296193815599e-15,1.471417940459596174e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.001317819801709502e-15,3.320703917161206463e-17,0.000000000000000000e+00,7.849317230134105259e-21,6.246288185361135305e-15
5.800000000000000000e+01,3.638518428337521576e-03,3.638518428337521576e-03,0.000000000000000000e+00,9.860761315262647568e-32,2.015459582793443135e-15,1.471417940459596396e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.014931051386699136e-15,4.615395941843999154e-17,0.000000000000000000e+00,7.849317346876353009e-21,6.246288278261664819e-15
