metric,value
pressure_jump,8.7023317621082333e+03
lambda_current,1.3821432194839090e+01
direct_boozer_norm,2.1465708017014192e-14
direct_jump_norm,4.6478466817623215e-02
direct_coil_match_norm,4.2921991688401077e-03
vc_coil_match_norm,4.7476906349871735e-02
direct_normal_norm,9.9138053344603695e-04
vc_normal_norm,9.8871690905482871e-03
direct_pressure_norm,1.7303058068408622e-02
vc_pressure_norm,1.5187312414004606e-01
direct_sheet_current_norm,3.7103090164701083e+04
vc_sheet_current_norm,9.0932757932779878e+03
B_external_rel_norm,4.6139183159632381e-03
coil_match_rel_norm,1.0013148399999170e+00
normal_rel_norm,9.8889047137661479e-01
pressure_rel_norm,8.9812916700872647e-01
sheet_current_rel_norm,4.0713432425358338e+00
