metric,value
pressure_jump,0.0000000000000000e+00
lambda_current,1.3883839810564444e+01
direct_boozer_norm,2.4081513018566096e-14
direct_jump_norm,6.1731289996390894e-15
direct_coil_match_norm,0.0000000000000000e+00
vc_coil_match_norm,1.5179237115932115e-02
direct_normal_norm,4.0967295226451152e-15
vc_normal_norm,9.9381564135126010e-03
direct_pressure_norm,1.5288863495312563e-14
vc_pressure_norm,3.1477599494796227e-02
direct_sheet_current_norm,4.9124199731824400e-09
vc_sheet_current_norm,9.1303587990203760e+03
B_external_rel_norm,1.4665942939410530e-03
coil_match_rel_norm,1.0000000000000000e+00
normal_rel_norm,1.0000000000000593e+00
pressure_rel_norm,1.0000000000000642e+00
sheet_current_rel_norm,1.0000000000000393e+00
